incident_name,county,fire_danger_score
Pala Fire,San Diego,60.0
Sand Fire,Amador,93.33333333333333
Sand Fire,El Dorado,93.33333333333333
Atlas Fire (Southern LNU Complex),Napa,100.0
Atlas Fire (Southern LNU Complex),Solano,100.0
Tubbs Fire (Central LNU Complex),Napa,93.33333333333333
Tubbs Fire (Central LNU Complex),Sonoma,93.33333333333333
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),Napa,100.0
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),Sonoma,100.0
Cascade Fire (Wind Complex),Yuba,93.33333333333333
Redwood Valley Fire (Mendocino Lake Complex),Mendocino,93.33333333333333
Lobo Fire (Wind Complex),Nevada,80.0
Thomas Fire,Santa Barbara,100.0
Thomas Fire,Ventura,100.0
Drum Fire,Santa Barbara,73.33333333333333
Coast Fire,Santa Barbara,73.33333333333333
Riverbottom Fire,Riverside,60.0
Holiday Fire,El Dorado,60.0
Grant Fire,Alameda,80.0
Creek Fire,San Luis Obispo,46.666666666666664
Stoll Fire,Tehama,86.66666666666667
Pawnee Fire,Lake,93.33333333333333
Horse Fire,Calaveras,53.333333333333336
Waverly Fire,San Joaquin,93.33333333333333
Hyatt Fire,Lassen,80.0
County Fire,Napa,100.0
County Fire,Yolo,100.0
West Fire,San Diego,80.0
Klamathon Fire,Siskiyou,93.33333333333333
Irish Fire,Amador,80.0
Holiday Fire,Santa Barbara,86.66666666666667
Spring 2 Fire,Lake,53.333333333333336
Carder Fire,Lake,53.333333333333336
Carr Fire,Shasta,100.0
Carr Fire,Trinity,100.0
Marsh Fire,Contra Costa,73.33333333333333
Wagner Fire,Mariposa,46.666666666666664
Ranch Fire (Mendocino Complex),Colusa,100.0
Ranch Fire (Mendocino Complex),Glenn,100.0
Ranch Fire (Mendocino Complex),Lake,100.0
Ranch Fire (Mendocino Complex),Mendocino,100.0
River Fire (Mendocino Complex),Colusa,100.0
River Fire (Mendocino Complex),Lake,100.0
River Fire (Mendocino Complex),Mendocino,100.0
Steele Fire,Napa,86.66666666666667
Omega Fire,El Dorado,53.333333333333336
Holy Fire,Orange,93.33333333333333
Delta Fire,Shasta,100.0
Delta Fire,Trinity,100.0
Meyers Fire,El Dorado,46.666666666666664
Camp Fire,Butte,93.33333333333333
Hill Fire,Ventura,93.33333333333333
Woolsey Fire,Los Angeles,100.0
Woolsey Fire,Ventura,100.0
Peak Fire,Ventura,73.33333333333333
IronGate Fire,Siskiyou,53.333333333333336
Merced Fire ,Merced,66.66666666666667
Coyote Fire,Santa Clara,53.333333333333336
Hollow Fire,San Joaquin,86.66666666666667
Bikeway Fire,Alameda,46.666666666666664
Fellow Fire,Contra Costa,46.666666666666664
Ranch Fire,Shasta,46.666666666666664
Snowstorm Fire,Lassen,60.0
Gillis Fire,San Luis Obispo,66.66666666666667
Sargent Fire,Monterey,60.0
Gibbel Fire ,Riverside,46.666666666666664
Border Fire,San Diego,53.333333333333336
Lincoln Fire,Riverside,60.0
Mid Fire,Alameda,46.666666666666664
Orange fire,Riverside,53.333333333333336
Jasper Fire,State of Nevada,80.0
Doyle Fire,Lassen,80.0
South Fire ,Ventura,60.0
Milton Fire ,Stanislaus,60.0
Aborn Fire,Santa Clara,53.333333333333336
Madera Fire ,Madera,60.0
Meadow Fire,Riverside,53.333333333333336
Goose 2 Fire,Modoc,66.66666666666667
Vista Fire,San Diego,46.666666666666664
Rains Fire,Stanislaus,46.666666666666664
Whiskey Fire,Calaveras,60.0
Tucker Fire,Modoc,93.33333333333333
Range Fire,Santa Barbara,60.0
Mill Fire,Monterey,73.33333333333333
Carson Fire,El Dorado,46.666666666666664
Caliente Fire,San Diego,86.66666666666667
Browns Fire,Sacramento,53.333333333333336
Prairie Fire ,Sacramento,53.333333333333336
Meadow Fire (Not a CAL FIRE incident),Modoc,53.333333333333336
Marsh Complex,Contra Costa,73.33333333333333
Five Fire,Los Angeles,80.0
La Barisa Fire,San Bernardino,46.666666666666664
Caliente Fire,Kern,46.666666666666664
Toro Fire ,Riverside,53.333333333333336
Golf Fire,Lake,46.666666666666664
Preston Fire,Tuolumne,46.666666666666664
W1 McDonald Fire,Lassen,80.0
Ward Fire,State of Oregon,80.0
Heavy Range Fire,Yolo,46.666666666666664
Radio Fire,Riverside,46.666666666666664
Lower Fire,Shasta,53.333333333333336
Moose Fire,Mendocino,73.33333333333333
Timm Fire ,Solano,53.333333333333336
Greenstone Fire ,El Dorado,46.666666666666664
Spring Fire ,Colusa,46.666666666666664
Cottage Fire,Shasta,80.0
Border 9 Fire,San Diego,53.333333333333336
Patterson Fire,El Dorado,46.666666666666664
Border 8 Fire,Mexico,66.66666666666667
Patterson Fire,Alameda,60.0
Mountain Fire,Shasta,86.66666666666667
Yucca Fire,Riverside,46.666666666666664
Horse Fire,Lassen,66.66666666666667
Long Valley Fire ,Lassen,80.0
Ivy Fire,Riverside,53.333333333333336
Border 10 Fire,Mexico,46.666666666666664
Border 10 Fire,San Diego,46.666666666666664
Sage Fire,Riverside,46.666666666666664
R-1 Fire,Lassen,86.66666666666667
Carroll Fire,Alameda,46.666666666666664
Jolon Fire,Monterey,53.333333333333336
Snail Fire,Ventura,80.0
Mines Fire,Alameda,46.666666666666664
Antelope Fire,San Benito,60.0
Telephone Fire,San Bernardino,60.0
Country Fire,El Dorado,53.333333333333336
Deer Fire,Santa Cruz,46.666666666666664
Tenaja,Riverside,80.0
Glass Fire,Lake,46.666666666666664
Foster Fire ,San Benito,46.666666666666664
Red Bank Fire,Tehama,93.33333333333333
Flood Fire ,San Joaquin,53.333333333333336
Henthorne Fire,Trinity,66.66666666666667
South Fire,Tehama,93.33333333333333
Lone Fire,Modoc,93.33333333333333
Cow Fire,Inyo,80.0
Taboose Fire,Inyo,93.33333333333333
Forbestown Fire,Butte,60.0
R-6 Fire,Lassen,73.33333333333333
Kidder 2 Fire,Siskiyou,66.66666666666667
Rams Horn Fire,Trinity,80.0
Oak Fire,Lake,53.333333333333336
Swedes Fire,Butte,80.0
Duzel Fire,Siskiyou,46.666666666666664
Sycamore Fire,Riverside,60.0
McMurray Fire,Santa Barbara,80.0
Bailey Fire,Riverside,46.666666666666664
Bridge Fire,Stanislaus,46.666666666666664
Bautista Fire,Riverside,66.66666666666667
Reservoir Fire,Santa Clara,66.66666666666667
Lopez Fire,San Luis Obispo,66.66666666666667
Kennedy Fire,Riverside,53.333333333333336
Tulloch Fire,Tuolumne,53.333333333333336
Cow Fire,Shasta,46.666666666666664
Electra Fire,Amador,46.666666666666664
Willow Fire,San Diego,53.333333333333336
Hwy Fire,Butte,66.66666666666667
Chaparral Fire,El Dorado,46.666666666666664
Warren Fire,Riverside,46.666666666666664
Del Fire,Stanislaus,46.666666666666664
Elk Fire,Glenn,53.333333333333336
American Fire,Napa,66.66666666666667
Point Fire ,Santa Clara,46.666666666666664
Dales Fire,Tehama,46.666666666666664
Little Fire,Alameda,46.666666666666664
Cross Fire,Monterey,86.66666666666667
Cross Fire,San Luis Obispo,86.66666666666667
Corning Fire ,Tehama,53.333333333333336
Inghram Fire,Tehama,46.666666666666664
Merrill Fire,Contra Costa,53.333333333333336
Eagle Fire,Riverside,46.666666666666664
Reche Fire,Riverside,73.33333333333333
Plains Fire,Shasta,53.333333333333336
Wolf Fire,Riverside,66.66666666666667
Saddle Ridge Fire,Los Angeles,93.33333333333333
Bitter Fire,San Luis Obispo,46.666666666666664
Olivas Fire,Ventura,60.0
Horse Fire,Lassen,53.333333333333336
Johnson Fire ,Riverside,66.66666666666667
Fairmont Fire,San Diego,46.666666666666664
Real Fire,Santa Barbara,86.66666666666667
Mud Fire ,Fresno,60.0
Beaumont Fire,San Bernardino,46.666666666666664
Palisades Fire,Los Angeles,60.0
Kincade Fire,Sonoma,93.33333333333333
Nelson Fire ,Butte,53.333333333333336
Cabrillo Fire,San Mateo,53.333333333333336
Mines Fire,Alameda,46.666666666666664
Sawday Fire ,San Diego,53.333333333333336
Miller Fire,San Diego,66.66666666666667
Rawson Fire,Tehama,66.66666666666667
Cypress Complex,Contra Costa,60.0
Sky Fire ,Contra Costa,60.0
Glencove Fire ,Solano,60.0
Burris Fire,Mendocino,80.0
Forest Fire,Contra Costa,53.333333333333336
Getty Fire ,Los Angeles,80.0
Easy Fire,Ventura,80.0
Hill Fire ,Riverside,73.33333333333333
46 Fire,Riverside,73.33333333333333
Hillside Fire,San Bernardino,80.0
Maria Fire ,Ventura,93.33333333333333
